main_category,code,url,product_name,nutrition_grade_fr,energy,proteins,stores_y
Breakfast cereals,4008713705362,https://fr.openfoodfacts.org/produit/4008713705362/cornflakes-vitawell,Cornflakes vitawell,c,1552,9,
Breakfast cereals,0058449162063,https://fr.openfoodfacts.org/produit/0058449162063/love-crunch-dark-chocolate-peanut-butter-nature-s-path,Love Crunch,a,348,2.1538461538462,
Breakfast cereals,5010477352590,https://fr.openfoodfacts.org/produit/5010477352590/country-crisp-bio-chocolat-noir-jordans,Country crisp bio Chocolat Noir,c,1904,7.7,Leclerc
Breakfast cereals,5010477352590,https://fr.openfoodfacts.org/produit/5010477352590/country-crisp-bio-chocolat-noir-jordans,Country crisp bio Chocolat Noir,c,1904,7.7,E.Leclerc
Breakfast cereals,5010477352590,https://fr.openfoodfacts.org/produit/5010477352590/country-crisp-bio-chocolat-noir-jordans,Country crisp bio Chocolat Noir,c,1904,7.7,Magasins U
Breakfast cereals,3258561040431,https://fr.openfoodfacts.org/produit/3258561040431/le-reflexe-bio,Le Réflexe Bio,d,1833,10.1,
Breakfast cereals,3421557501883,https://fr.openfoodfacts.org/produit/3421557501883/muesli-croustillant-cacao-noix-de-coco-terres-et-cereales-bio,Muesli croustillant cacao noix de coco,c,1787,10,auchan
Breakfast cereals,3250390784807,https://fr.openfoodfacts.org/produit/3250390784807/muesli-crisp-chabrior,Muesli Crisp,c,2004,10.6,Intermarché
Breakfast cereals,4008713711097,https://fr.openfoodfacts.org/produit/4008713711097/muesli-con-frutas-joe-s-farm,Muesli con frutas,a,1393,9.1,Mercadona
Breakfast cereals,3560070581870,https://fr.openfoodfacts.org/produit/3560070581870/crunchy-muesli-aux-fruits-rouges-carrefour,"Crunchy 
muesli aux fruits rouges",a,1800,11,Carrefour
Breakfast cereals,3159470000120,https://fr.openfoodfacts.org/produit/3159470000120/corn-flakes-kellogg-s,,c,1604,7,Cora
Breakfast cereals,3159470000120,https://fr.openfoodfacts.org/produit/3159470000120/corn-flakes-kellogg-s,,c,1604,7,Magasins U
Breakfast cereals,3159470000120,https://fr.openfoodfacts.org/produit/3159470000120/corn-flakes-kellogg-s,,c,1604,7,Delhaize
Breakfast cereals,5010477356239,https://fr.openfoodfacts.org/produit/5010477356239/jordans-muesli-bio,JORDANS Muesli Bio,a,1672,9.1,
Breakfast cereals,20245191,https://fr.openfoodfacts.org/produit/20245191/muesli-croustillant-sirop-d-erable-et-noix-de-pecan-crownfield,Muesli croustillant sirop d'érable et noix de pecan,c,1920,9.3,Lidl
Breakfast cereals,3229820160672,https://fr.openfoodfacts.org/produit/3229820160672/croustillant-chocolat-bjorg,Croustillant chocolat,c,1929,10,Naturéo
Breakfast cereals,3229820160672,https://fr.openfoodfacts.org/produit/3229820160672/croustillant-chocolat-bjorg,Croustillant chocolat,c,1929,10,Monoprix
Breakfast cereals,3229820160672,https://fr.openfoodfacts.org/produit/3229820160672/croustillant-chocolat-bjorg,Croustillant chocolat,c,1929,10,Carrefour
Breakfast cereals,3229820160672,https://fr.openfoodfacts.org/produit/3229820160672/croustillant-chocolat-bjorg,Croustillant chocolat,c,1929,10,Magasins U
Breakfast cereals,3229820160672,https://fr.openfoodfacts.org/produit/3229820160672/croustillant-chocolat-bjorg,Croustillant chocolat,c,1929,10,Intermarché
Breakfast cereals,3111900350304,https://fr.openfoodfacts.org/produit/3111900350304/muesli-lin-et-fibres-joseph-favrichon,Muesli lin et fibres,a,1630,16.3,
Breakfast cereals,5278017778280,https://fr.openfoodfacts.org/produit/5278017778280/flocon-d-avoine-casino,Flocon d'avoine,-,-,-,Casino
Breakfast cereals,3368952200167,https://fr.openfoodfacts.org/produit/3368952200167/muesli-croustillant-chocolat-noir-fruits-rouges-u-saveurs,Muesli croustillant chocolat noir fruits rouges,c,1926,7.9,HYPER U
Breakfast cereals,3368952200167,https://fr.openfoodfacts.org/produit/3368952200167/muesli-croustillant-chocolat-noir-fruits-rouges-u-saveurs,Muesli croustillant chocolat noir fruits rouges,c,1926,7.9,SUPER U
Breakfast cereals,3368952200167,https://fr.openfoodfacts.org/produit/3368952200167/muesli-croustillant-chocolat-noir-fruits-rouges-u-saveurs,Muesli croustillant chocolat noir fruits rouges,c,1926,7.9, Magasins U
Dried fruits,5902884463139,https://fr.openfoodfacts.org/produit/5902884463139/granila-aux-fruits-one-day-more,Granila aux fruits,a,1653,11.300000190735,lidl
Breakfast cereals,5010477339935,https://fr.openfoodfacts.org/produit/5010477339935/jordans-the-original-crunchy-tropical-fruit-crunchy-muesli,Jordans The Original Crunchy Tropical Fruit Crunchy Muesli,c,1803,8.3,
Legumes,3273120019451,https://fr.openfoodfacts.org/produit/3273120019451/flocons-de-pois-chiches-celnat,Flocons De Pois Chiches,a,1406,18.6,
Breakfast cereals,3273120021003,https://fr.openfoodfacts.org/produit/3273120021003/flocons-de-petit-epeautre-celnat,Flocons de petit épeautre,a,1423,12,Satoriz
Breakfast cereals,3273120021003,https://fr.openfoodfacts.org/produit/3273120021003/flocons-de-petit-epeautre-celnat,Flocons de petit épeautre,a,1423,12,biocoop
Breakfast cereals,3273120021003,https://fr.openfoodfacts.org/produit/3273120021003/flocons-de-petit-epeautre-celnat,Flocons de petit épeautre,a,1423,12,biotope
Breakfast cereals,3263850821004,https://fr.openfoodfacts.org/produit/3263850821004/muesli-croustillant-aux-5-fruits-leader-price,Muesli croustillant aux 5 fruits,d,1858,7.7,Leader Price
Breakfast cereals,27085875,https://fr.openfoodfacts.org/produit/27085875/flocons-d-avoine-golden-bridge,Flocons d’avoine,a,1556,13,
Breakfast cereals,3760020503833,https://fr.openfoodfacts.org/produit/3760020503833/muesli-chocolat-noir-et-graines-de-lin-jardin-bio,Muesli chocolat noir et graines de lin,c,1812,11,Intermarché
Breakfast cereals,5010477348395,https://fr.openfoodfacts.org/produit/5010477348395/country-crisp-chocolat-noir-jordans,Country Crisp chocolat noir,c,1916,9.2,U
Breakfast cereals,5010477348395,https://fr.openfoodfacts.org/produit/5010477348395/country-crisp-chocolat-noir-jordans,Country Crisp chocolat noir,c,1916,9.2,Magasins U
Breakfast cereals,4056489037019,https://fr.openfoodfacts.org/produit/4056489037019/special-flakes-chocolat-au-lait-crownfield,Spécial FLAKES chocolat au lait,c,1699,8.5,lidl
Breakfast cereals,4008713756661,https://fr.openfoodfacts.org/produit/4008713756661/copos-de-avena-bruggen,Copos de avena,a,1580,14,Mercadona
Breakfast cereals,20003166,https://fr.openfoodfacts.org/produit/20003166/flocons-d-avoine-fins-crownfield,oatmeal,a,1556,13.5,LIDL
Breakfast cereals,5738001011002,https://fr.openfoodfacts.org/produit/5738001011002/cornflakes-kellogg-s,Cornflakes Kellogg´s,c,1582,7,
Breakfast cereals,8422584013146,https://fr.openfoodfacts.org/produit/8422584013146/copos-de-maiz-tostado-ecocesta,Copos de maíz tostado,c,1559,8.01,Carrefour
